
 Beginning new ROOT session
Type                                  Module                    Label             Process           
----------------------------------------------------------------------------------------------------
CrossingFramePlaybackInfoNew          "mix"                     ""                "testHGCalRecoLocal"   
EBDigiCollection                      "mix"                     ""                "testHGCalRecoLocal"   
EBDigiCollection                      "mix"                     "APD"             "testHGCalRecoLocal"   
EEDigiCollection                      "mix"                     ""                "testHGCalRecoLocal"   
ESDigiCollection                      "mix"                     ""                "testHGCalRecoLocal"   
GenEventInfoProduct                   "generator"               ""                "testHGCalRecoLocal"   
HcalDataFrameContainer<QIE10DataFrame>    "mix"                     "HFQIE10DigiCollection"   "testHGCalRecoLocal"   
PileupMixingContent                   "mix"                     ""                "testHGCalRecoLocal"   
PileupVertexContent                   "mix"                     ""                "testHGCalRecoLocal"   
edm::DetSetVector<PixelDigi>          "mix"                     ""                "testHGCalRecoLocal"   
edm::DetSetVector<PixelDigiSimLink>    "mix"                     ""                "testHGCalRecoLocal"   
edm::DetSetVector<SiStripDigi>        "mix"                     "ZeroSuppressed"   "testHGCalRecoLocal"   
edm::DetSetVector<SiStripRawDigi>     "mix"                     "ProcessedRaw"    "testHGCalRecoLocal"   
edm::DetSetVector<SiStripRawDigi>     "mix"                     "ScopeMode"       "testHGCalRecoLocal"   
edm::DetSetVector<SiStripRawDigi>     "mix"                     "VirginRaw"       "testHGCalRecoLocal"   
edm::DetSetVector<StripDigiSimLink>    "mix"                     ""                "testHGCalRecoLocal"   
edm::HepMCProduct                     "generator"               "unsmeared"       "testHGCalRecoLocal"   
edm::SortedCollection<CastorDataFrame,edm::StrictWeakOrdering<CastorDataFrame> >    "mix"                     ""                "testHGCalRecoLocal"   
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "mix"                     ""                "testHGCalRecoLocal"   
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "mix"                     ""                "testHGCalRecoLocal"   
edm::SortedCollection<HGCDataFrame<HGCEEDetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<HGCEEDetId,HGCSample> > >    "mix"                     "HGCDigisEE"      "testHGCalRecoLocal"   
edm::SortedCollection<HGCDataFrame<HGCHEDetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<HGCHEDetId,HGCSample> > >    "mix"                     "HGCDigisHEback"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCDataFrame<HGCHEDetId,HGCSample>,edm::StrictWeakOrdering<HGCDataFrame<HGCHEDetId,HGCSample> > >    "mix"                     "HGCDigisHEfront"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"             "HGCEERecHits"    "testHGCalRecoLocal"   
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"             "HGCHEBRecHits"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCRecHit,edm::StrictWeakOrdering<HGCRecHit> >    "HGCalRecHit"             "HGCHEFRecHits"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCUncalibratedRecHit,edm::StrictWeakOrdering<HGCUncalibratedRecHit> >    "HGCalUncalibRecHit"      "HGCEEUncalibRecHits"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCUncalibratedRecHit,edm::StrictWeakOrdering<HGCUncalibratedRecHit> >    "HGCalUncalibRecHit"      "HGCHEBUncalibRecHits"   "testHGCalRecoLocal"   
edm::SortedCollection<HGCUncalibratedRecHit,edm::StrictWeakOrdering<HGCUncalibratedRecHit> >    "HGCalUncalibRecHit"      "HGCHEFUncalibRecHits"   "testHGCalRecoLocal"   
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "mix"                     ""                "testHGCalRecoLocal"   
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "mix"                     "HBHEUpgradeDigiCollection"   "testHGCalRecoLocal"   
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "mix"                     "HFUpgradeDigiCollection"   "testHGCalRecoLocal"   
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "mix"                     ""                "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "CaloHitsTk"      "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "CastorBU"        "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "CastorFI"        "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "CastorPL"        "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "CastorTU"        "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "ChamberHits"     "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "EcalHitsEB"      "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "EcalHitsEE"      "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "EcalHitsES"      "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "EcalTBH4BeamHits"   "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "FibreHits"       "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "HGCHitsEE"       "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "HGCHitsHEback"   "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "HGCHitsHEfront"   "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "HcalHits"        "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "HcalTB06BeamHits"   "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "WedgeHits"       "testHGCalRecoLocal"   
vector<PCaloHit>                      "g4SimHits"               "ZDCHITS"         "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "BCM1FHits"       "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "BHMHits"         "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "BSCHits"         "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "FP420SI"         "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "FastTimerHits"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "MuonCSCHits"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "MuonDTHits"      "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "MuonGEMHits"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "MuonME0Hits"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "MuonRPCHits"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "PLTHits"         "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TotemHitsRP"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TotemHitsT1"     "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TotemHitsT2Gem"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsPixelBarrelHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsPixelBarrelLowTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsPixelEndcapHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsPixelEndcapLowTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTECHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTECLowTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTIBHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTIBLowTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTIDHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTIDLowTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTOBHighTof"   "testHGCalRecoLocal"   
vector<PSimHit>                       "g4SimHits"               "TrackerHitsTOBLowTof"   "testHGCalRecoLocal"   
vector<SimTrack>                      "g4SimHits"               ""                "testHGCalRecoLocal"   
vector<SimVertex>                     "g4SimHits"               ""                "testHGCalRecoLocal"   
vector<TrackingParticle>              "mix"                     ""                "testHGCalRecoLocal"   
vector<TrackingParticle>              "mix"                     "MergedTrackTruth"   "testHGCalRecoLocal"   
vector<TrackingVertex>                "mix"                     ""                "testHGCalRecoLocal"   
vector<TrackingVertex>                "mix"                     "MergedTrackTruth"   "testHGCalRecoLocal"   
vector<int>                           "genParticles"            ""                "testHGCalRecoLocal"   
vector<reco::GenParticle>             "genParticles"            ""                "testHGCalRecoLocal"   
vector<reco::PFRecHit>                "particleFlowRecHitHGC"   ""                "testHGCalRecoLocal"   
vector<reco::PFRecHit>                "particleFlowRecHitHGC"   "Cleaned"         "testHGCalRecoLocal"   
